author	bookid	bpoids	genres	htrcids	subjects	title
Holmes Oliver Wendell	B3801	{8654859, 8450493}		{'uc1.32106014427691'}		Elsie Venner  a romance of Destiny
Harte Bret	B3802	{8617030}		{'uc1.32106014537853'}		Gabriel Conroy
Harte Bret	B3803	{3157756, 8927877}		{'uc2.ark+=13960=t7dr2pv65', 'uc1.b3123745'}	{'American literature'}	In a hollow of the hills
Harte Bret	B3804	{3265551}		{'uc1.b3123747'}	{'Western stories', 'American fiction'}	Tales of trail and town
Horlock Knightley William	B3805	{5011697}		{'uc1.b3123804', 'uc1.b3123802', 'uc1.b3123803'}		The Squire of Beechwood a true tale of Scrutator pseud
Hood Tom	B3806	{8666945}		{'uc1.b3123812', 'uc1.b3123813', 'uc1.b3123811'}		A golden heart  a novel
Hook Theodore Edward	B3807	{8696789}		{'uc1.b3123836', 'uc1.b3123837', 'uc1.b3123838'}	{'English fiction', '823H76P1833'}	The parsons daughter
Houstoun Matilda Charlotte Mrs	B3808	{8665442}		{'uc1.b3123856', 'uc1.b3123855', 'uc1.b3123854'}		Sink or swim  a novel
Hazelton George Cochrane	B3809	{8880771}		{'uc1.b3124673'}	{'Gwyn, Nell', '1650-1687'}	Mistress Nell  a merry tale of a merry time twixt fact and fancy
Bromfield Louis	B381	{3230412}		{'mdp.39015030851060'}		Twentyfour hours
Hood Thomas	B3810	{9464285}		{'uc1.b3126939', 'uc1.b3126938', 'uc1.b3126942'}		The works of Thomas Hood Comic and serious in prose and verse
Hollis Margery	B3811	{8837875}	{'Three deckers'}	{'uc1.b3143049', 'uc1.b3143047', 'uc1.b3143048'}		Up in arms
Harland Henry	B3812	{6779267, 3446155}		{'uc1.b3322368'}		Comedies  errors
Hewlett Maurice Henry	B3813	{8982919}		{'uc1.b3322377'}		A lovers tale
Hewlett Maurice Henry	B3814	{8877820, 6780516}		{'uc1.b3322486'}	{'1157-1199', 'Richard', 'King of England'}	The life and death of Richard YeaandNay
Herbert Henry William	B3815	{8444697}		{'uc1.b3322743', 'uc1.b3322745'}	{'Cromwell, Oliver', '1599-1658'}	Oliver Cromwell  an historical
Herrick Robert	B3816	{6801292, 6790893}		{'uc1.b3322759'}		The real world
Harris Joel Chandler	B3817	{9061038}	{'Juvenile audience'}	{'uc1.b3324229'}		The bishop and the boogerman
Hume Fergus	B3818	{3178026}		{'uc1.b3324254'}		The green mummy
Housman Laurence	B3819	{3229167}		{'uc1.b3324361'}		Allfellows and The cloak of friendship
Bromfield Louis	B382	{3240042}		{'mdp.39015030851128'}		A modern hero
Howard Edward	B3820	{5242537}		{'uc1.b3324477', 'uc1.b3324476', 'uc1.b3324475'}	{'Morgan, Henry', '1635?-1688'}	Sir Henry Morgan the buccaneer
Harland Marion	B3821	{8637472}		{'uc1.b3325210'}	{'American fiction'}	MossSide
Hardy Thomas	B3822	{8802696, 3158617, 6724074}	{'Bibliographies'}	{'uc1.b3578724', 'uc1.b3578725', 'uc1.b3578726'}	{'Poor families', 'Children of the rich', 'Triangles (Interpersonal relations)', 'Man-woman relationships', 'Women household employees', '19th century', 'Children of clergy', 'English literature', 'Social life and customs', 'Women murderers'}	Tess of the DUrbervilles a pure woman faithfully presented
Harris Frank	B3823	{6867017, 2433975}		{'uc1.b3578740'}		Unpathd waters
Hewlett J Joseph	B3824	{8981768, 8404059}		{'uc2.ark+=13960=t6057jr1s', 'uc1.b3578772', 'uc1.b3578771'}	{'English fiction'}	Peter Priggins the college sco
Housman Laurence	B3825	{3454248, 3158597}		{'uc1.b3578776'}		The field of clover
Hook Theodore Edward	B3826	{8663551}		{'uc1.b3578828'}		Fathers and sons a novel
Hergesheimer Joseph	B3827	{2488086}		{'uc1.b3688273'}		The party dress
Hergesheimer Joseph	B3828	{3209999}		{'uc1.b3688358'}		The three black Pennys a novel
Herbert A P Sir Alan Patrick	B3829	{2495225}		{'uc1.b3872967'}	{'Great Britain', 'Divorce'}	Holy deadlock
Biggers Earl Derr	B383	{3210233}		{'mdp.39015030851680'}		The black camel
Hood Thomas	B3830	{4697185, 5157605, 8197036, 4694837, 8187162, 8570107}		{'uc1.b4102512'}		Whims and oddities  in prose and verse with forty original designs
Holmes Oliver Wendell	B3831	{4362019, 8780227}	{'ContainsBiogMaterial'}	{'uc1.b4103181'}		The guardian angel
Harte Bret	B3832	{8956131}		{'uc1.b4445878'}		Mr Jack Hamlins mediation  Two men of Sandy Bar
Hunter William Wilson Sir	B3833	{3167498, 6747525}		{'uc1.b4506554'}	{'Missions', 'Bengal (India)'}	The old missionary
Harris Corra	B3834	{3192221}		{'uc2.ark+=13960=fk18k74z0j'}		Eves second husband
Hart Fanny Wheeler	B3835	{8692091, 8674004, 2719743}		{'uc2.ark+=13960=fk1td9n89q'}		Mrs Jerninghams journal
Hutton Samuel King	B3836	{3196383}		{'uc2.ark+=13960=fk78s4k46s'}	{'Newfoundland and Labrador', 'Labrador', 'Labrador (N.L.)', 'Description and travel', 'Eskimos', 'Missions'}	By Eskimo dogsled and kayak
Howells William Dean	B3837	{9037686}		{'uc2.ark+=13960=fk8cf9jq1k'}		Miss Bellards inspiration
Hook Theodore Edward	B3838	{2846972}		{'uc2.ark+=13960=t00004q77', 'uc2.ark+=13960=t1qf8q81v', 'uc2.ark+=13960=t08w3dq93'}		Births deaths and marriages
Hutchison William G	B3839	{6785135}		{'uc2.ark+=13960=t01z4ff1z'}	{'Tobacco', 'English poetry'}	Lyra nicotiana
Bunner H C Henry Cuyler	B384	{6662944}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'mdp.39015030853520'}		Love in old cloathes and other
Harte Bret	B3840	{3164158}		{'uc2.ark+=13960=t02z13c2k'}		Sally Dows
Hapgood Hutchins	B3841	{3270669, 9413822}		{'uc2.ark+=13960=t03x8624c'}	{'Thieves', 'IsBiographical'}	The autobiography of a thief
Haggard H Rider Henry Rider	B3842	{3215831}		{'uc2.ark+=13960=t04x58z7g'}		When the world shook
Harraden Beatrice	B3843	{3154196}		{'uc2.ark+=13960=t04x59493'}		In varying moods
Hilliers Ashton	B3844	{9063449}		{'uc2.ark+=13960=t05x25t64'}		The mastergirl
Hamilton Ernest	B3845	{8858010, 3163459, 6760957}		{'uc2.ark+=13960=t08w39f1d'}		The perils of Josephine
Hudson William C William Cadwalader	B3846	{3191732}		{'uc2.ark+=13960=t0dv1cq0g'}		Should she have left him
Howells William Dean	B3847	{8902390}		{'uc2.ark+=13960=t0gt5gb7z'}		Letters home
Hewlett Maurice Henry	B3848	{9044514, 3176599}		{'uc2.ark+=13960=t0gt5nd5z'}		Halfway house
Hyne C J Cutcliffe	B3849	{3172819}		{'uc2.ark+=13960=t0js9hg50'}		Atoms of empire
Barrie J M James Matthew	B385	{6429587}		{'mdp.39015030853801'}		Auld licht idylls
Hall Thomas	B3850	{4416501}		{'uc2.ark+=13960=t0rr1zh8r'}		Rowland Bradshaw
Hay Ian	B3851	{3187786, 9064629}		{'uc2.ark+=13960=t0vq2tf1s'}		A mans man
Hudson Charles B	B3852	{9030716}		{'uc2.ark+=13960=t0wp9td1z'}		The crimson conquest
Harker L Allen Lizzie Allen Mrs	B3853	{9297530, 3217052, 6824398}		{'uc2.ark+=13960=t0xp6wj9m'}	{'Orphans'}	Miss Esperance and Mr Wycherly
Hodgson William Hope	B3854	{3205210}		{'uc2.ark+=13960=t0xp72f1v'}		Men of the deep waters
Harding Ellison	B3855	{6691889, 9430825}		{'uc2.ark+=13960=t10p0xs0f'}	{'Science fiction', 'Utopias'}	The woman who vowed
Hancock Albert Elmer	B3856	{8994344}		{'uc2.ark+=13960=t14m92b07'}		Henry Bourland
Hobbes John Oliver	B3857	{8956515, 3171566}		{'uc2.ark+=13960=t14m98026'}		The school for saints
Hales A G Alfred Greenwood	B3858	{3177859, 6673381}		{'uc2.ark+=13960=t17m06c1b'}		Jair the Apostate
Hamsun Knut	B3859	{2442271}		{'uc2.ark+=13960=t17m0gv5v'}		Mothwise
Baring Maurice	B386	{3230857}		{'mdp.39015030854304'}		Daphne Adeane
Hamilton Cosmo	B3860	{8932153}		{'uc2.ark+=13960=t18k77v9h'}		Adams clay
Howells William Dean	B3861	{6668384, 6811497}		{'uc2.ark+=13960=t1cj88k0z'}		Questionable shapes
Henty G A George Alfred	B3862	{6657353, 9399410, 3174548}		{'uc2.ark+=13960=t1fj2c24r'}		The Queens cup
Hutchinson A S M Arthur StuartMenteth	B3863	{3221889, 2445666}		{'uc2.ark+=13960=t1hh6c669'}		If winter comes
Halphide Alvin Cavala	B3864	{8888151}		{'uc2.ark+=13960=t1kh0gk6t'}		The fulfilling of the law
Hudson W H William Henry	B3865	{3224076}		{'uc2.ark+=13960=t1qf8mr9r'}	{'Description and travel'}	The purple land
Hunt Leigh	B3866	{5213461}		{'uc2.ark+=13960=t1vd6tm3p'}		The indicator and The companion
Hopkins Pauline Bradford Mackie	B3867	{8885096, 6783508}		{'uc2.ark+=13960=t1wd3r12x'}		The Washingtonians
Hutchinson Horace G Horace Gordon	B3868	{8972163}		{'uc2.ark+=13960=t26974j18'}		The Faun and the philosopher
Hansson Ola	B3869	{3157125}		{'uc2.ark+=13960=t27942z2g'}		Young Ofegs ditties
Bates H E Herbert Ernest	B387	{2480998}		{'mdp.39015030855616'}		Seven tales and Alexander
Hamel Felix John	B3870	{8694341}		{'uc2.ark+=13960=t28912x1q'}	{'Detective and mystery stories', 'Smuggling', 'Criminals'}	Harry Roughton or Reminiscences of a revenue officer
Hatton Frederick	B3871	{9104553}		{'uc2.ark+=13960=t2988424d'}		Years of discretion
Hudson Stephen	B3872	{2445837, 3223823}		{'uc2.ark+=13960=t29887k89'}		Elinor Colhouse
Harry Myriam	B3873	{3188274}		{'uc2.ark+=13960=t2b85510m'}		The conquest of Jerusalem
Hutchinson A S M Arthur StuartMenteth	B3874	{8953947}		{'uc2.ark+=13960=t2b856v94'}		The clean heart
Hornung E W Ernest William	B3875	{8940051, 6845591}		{'uc2.ark+=13960=t2b858j50'}		The camera fiend
Hope Anthony	B3876	{8811530, 3152670}		{'uc2.ark+=13960=t2c82cr53'}		A change of air
Haggard H Rider Henry Rider	B3877	{3179687}		{'uc2.ark+=13960=t2d799x0q'}		The ghost kings
Harrison Burton Mrs	B3878	{3178069}		{'uc2.ark+=13960=t2h708917'}		A bachelor maid
Howe Sonia Elizabeth	B3879	{3209761}		{'uc2.ark+=13960=t2j67j06j'}	{'Description and travel', 'Soviet Union', 'World War, 1914-1918'}	Real Russians
Bangs John Kendrick	B388	{6775910}	{'Juvenile audience'}	{'mdp.39015030856978'}		The enchanted typewriter
Harker L Allen Lizzie Allen Mrs	B3880	{9325810}		{'uc2.ark+=13960=t2r49hq31'}		Master and maid
Hewlett Maurice Henry	B3881	{8973185, 3196333}		{'uc2.ark+=13960=t2r49pd4j'}		The little Iliad
Hornung E W Ernest William	B3882	{3159431}		{'uc2.ark+=13960=t2t43q19s'}		Dead men tell no tales
Hemingway Richard DOyly	B3883	{9365913}		{'uc2.ark+=13960=t2v40pd1m'}		Three gentlemen from New Caled
Herbert A P Sir Alan Patrick	B3884	{9138160}		{'uc2.ark+=13960=t2x34pf7r'}		The house by the river
Harland Henry	B3885	{8893296, 6751000}		{'uc2.ark+=13960=t2z31pn07', 'uva.x030758873'}		The lady paramount
Hammond William Alexander	B3886	{8665015}		{'uc2.ark+=13960=t3125rt0c'}		Robert Severne his friends and his enemies
Hamilton William	B3887	{8468483}		{'uc2.ark+=13960=t6d21t16h', 'uc2.ark+=13960=t3707z04z', 'uc2.ark+=13960=t5x63ch8w'}	{'Logic', 'Metaphysics'}	Lectures on metaphysics and logic
Harte Bret	B3888	{6782593}		{'uc2.ark+=13960=t39020817'}		From sandhill to pine
Habberton John	B3889	{8534084}		{'uc2.ark+=13960=t3cz32c6g'}		Helens babies
Browning Robert	B389	{6679474}		{'mdp.39015030947801'}		Dramatic idyls
Henderson W J William James	B3890	{3164443}		{'uc2.ark+=13960=t3cz33w8k'}		Sea yarns for boys
Holmes Oliver Wendell	B3891	{8648846, 8699414}	{'Bibliographies', 'ContainsBiogMaterial'}	{'uc2.ark+=13960=t3fx76b50'}	{'American essays'}	The poet at the breakfasttable
Harte Bret	B3892	{3256853}		{'uc2.ark+=13960=t3jw87f9n'}		The bellringer of angels etc
Hope Anthony	B3893	{8897415}		{'uc2.ark+=13960=t3jw89j4d'}		Double harness
Hunt Bampton	B3894	{6758940, 2435533}		{'uc2.ark+=13960=t3kw5dm2r'}	{'Ireland', 'Folklore'}	Folk tales of Breffny
Hutten zum Stolzenberg Betsey Riddle	B3895	{6707170}		{'uc2.ark+=13960=t3tt4g38v'}		Our lady of the beeches
Hook Theodore Edward	B3896	{8611952}		{'uc2.ark+=13960=t8ff3s588', 'uc2.ark+=13960=t3ws8pd3r'}		Sayings and doings or Sketches from life
Hayward Rachel	B3897	{6845225, 3199439}		{'uc2.ark+=13960=t3zs2mv33'}		The Hippodrome
HelyHutchinson M	B3898	{6785916, 8870958, 6819151}		{'uc2.ark+=13960=t3zs2nt4j'}		Monica Grey
Harland Henry	B3899	{3172068, 9448317}		{'uc2.ark+=13960=t41r6p77v'}		The royal end
Alcott Louisa May	B39	{8533177}	{'Juvenile audience'}	{'nc01.ark+=13960=t9f48p84h'}	{'Juvenile fiction', 'Circus performers', 'Families', 'Dogs'}	Under the lilacs
Bennett Arnold	B390	{6811339, 8917325, 3186503}		{'mdp.39015031224101'}		Sacred  profane love a novel in three episodes
Henry Arthur	B3900	{6758696, 8993258, 6782219}		{'uc2.ark+=13960=t44q7rm5m'}		A princess of Arcady
Haggard H Rider Henry Rider	B3901	{3219041}		{'uc2.ark+=13960=t48p5z71c'}		Moon of Israel
Horniman Roy	B3902	{9276416, 3283329}		{'uc2.ark+=13960=t49p2xr68'}		Bellamy the magnificent
Herrick Robert	B3903	{8938356, 6748909, 6891910}		{'uc2.ark+=13960=t4cn7056n'}		A life for a life
Hornung E W Ernest William	B3904	{8843513, 6775869, 3173375}		{'uc2.ark+=13960=t4gm86t2p'}		My lord duke
Hume Fergus	B3905	{3269897, 6798177, 8870201}		{'uc2.ark+=13960=t4hm57h5p'}		The bishops secret
Hobbes John Oliver	B3906	{3170498, 8818387}		{'uc2.ark+=13960=t4nk3913d'}		A study in temptations
Hobday William Alfred	B3907	{6758443}		{'uc2.ark+=13960=t4rj4j75x'}		Accessory after the fact
Hales A G Alfred Greenwood	B3908	{8881689}		{'uc2.ark+=13960=t4sj1d82f'}		The watcher on the tower
Hope Anthony	B3909	{2447148}		{'uc2.ark+=13960=t4wh2k44n'}		Second string
Benson Arthur Christopher	B391	{6752675}		{'mdp.39015031224473'}		The child of the dawn
Holland Bryan T	B3910	{3218437}		{'uc2.ark+=13960=t51g0kj5x'}		A vagrant tune
Holme Constance	B3911	{3239553}		{'uc2.ark+=13960=t52f7rw91'}		The lonely plough
Hassell Susan Whitcomb	B3912	{9451664}		{'uc2.ark+=13960=t54f1pz7g'}	{'Hassell, Susan Whitcomb', 'Home', 'IsBiographical'}	The old home
Hales A G Alfred Greenwood	B3913	{6796654}		{'uc2.ark+=13960=t55d8r33s'}		Marozia
Hichens Robert	B3914	{8928372}		{'uc2.ark+=13960=t59c75g2q', 'uc2.ark+=13960=t85h7dp28'}		Barbary sheep
Higginson Ella	B3915	{6788090}		{'uc2.ark+=13960=t5bc3v58n', 'inu.39000005897793'}		From the land of the snow pear
Haigh Richmond	B3916	{3211254}		{'uc2.ark+=13960=t5bc3vd2w'}	{'Social life and customs', 'Ethiopia', 'Folklore'}	An Ethiopian saga
Hervey Thomas K	B3917	{6122016, 8203713, 4710432, 4696802, 8680007, 8546056, 8930331, 5827882, 8196600, 4440968, 8253165, 5203053, 8266637, 8297520, 8239830, 4699256, 5150075}		{'uc2.ark+=13960=t5j962c84'}		Friendships offering
Hamilton M	B3918	{5893838}		{'uc2.ark+=13960=t5m903j84'}		Across an Ulster bog
Heckford Sarah	B3919	{6712647}		{'uc2.ark+=13960=t5p845m8n'}	{'Transvaal (South Africa)'}	A lady trader in the Transvaal
Bennett Arnold	B392	{3172484, 6768957, 8861382}		{'uc1.$b792426', 'mdp.39015031225173'}		A man from the North
Holdsworth Annie E	B3920	{6778135, 6749201, 3167172, 9220415}		{'uc2.ark+=13960=t5r78822m'}		The valley of the great shadow
Heath Christopher	B3921	{6824645}		{'uc2.ark+=13960=t5r78887q'}		Peters progress
Hill Headon	B3922	{8907482}		{'uc2.ark+=13960=t5s758g9j'}		Millions of mischief
Halifax Robert	B3923	{9059937, 3178250}		{'uc2.ark+=13960=t5t729c3w'}		Low society
Hope Anthony	B3924	{3164851}		{'uc2.ark+=13960=t5v69939t'}		The indiscretion of the duches
Howard Blanche Willis	B3925	{3145908}		{'uc2.ark+=13960=t5v699j1s'}		A battle and a boy
Horniman Roy	B3926	{8935020}		{'uc2.ark+=13960=t5w66bv5b'}		Lord Cammarleighs secret
Herbert Alice	B3927	{3205658}		{'uc2.ark+=13960=t6057dn47'}		Heaven and Charing Cross
Hatton Joseph	B3928	{8817566}		{'uc2.ark+=13960=t6154h16j'}	{'823H28U'}	Under the great seal
Howitt Mary Botham	B3929	{8345199}		{'uc2.ark+=13960=t6154ts5n'}	{'English fiction'}	Strive and thrive
Bennett Arnold	B393	{3217522}		{'mdp.39015031227617'}		Lord Raingo
Haydon George Henry	B3930	{8730536}		{'uc2.ark+=13960=t6445s05w'}	{'Australia'}	The Australian emigrant
Hornung E W Ernest William	B3931	{3159056, 6782468, 6782293, 8853390}	{'Mystery and detective fiction', 'Great Britain'}	{'uc2.ark+=13960=t6542qk5v'}	{'Raffles (Fictitious character)', 'Detective and mystery stories, English', 'Criminals', 'England', 'Adventure stories, English'}	The amateur cracksman
Hope Anthony	B3932	{8932205, 6862949}		{'uc2.ark+=13960=t6b27st7j'}		Mrs Maxon protests
Holland Clive	B3933	{3170989}		{'uc2.ark+=13960=t6n017c11'}		Brown face and white
Hocking Silas K Silas Kitto	B3934	{3261738}		{'uc2.ark+=13960=t6vx0bx8m'}		For such is life
Howitt William	B3935	{8964993, 5007540}		{'uc2.ark+=13960=t6vx0c40v'}	{'English fiction'}	Tallangetta the squatters home
Harland Henry	B3936	{9382956}		{'uc2.ark+=13960=t6xw49g09'}		Mademoiselle Miss and other st
Harraden Beatrice	B3937	{3158569, 8819299}		{'uc2.ark+=13960=t71v5r667'}		Ships that pass in the night
Hope Anthony	B3938	{6821872, 8896646, 6809199}		{'uc2.ark+=13960=t72v2f31x'}		The intrusions of Peggy
Henty G A George Alfred	B3939	{3174883}		{'uc2.ark+=13960=t7dr2q662'}		St Bartholomews eve
Baldwin Faith	B394	{3206119}		{'mdp.39015031230298'}		Thresholds
Harrison Burton Mrs	B3940	{3169689}		{'uc2.ark+=13960=t7mp4w713'}	{'Short stories, American'}	Short stories
Hird Dennis	B3941	{3169100}		{'uc2.ark+=13960=t7np20788'}		Toddle Island
Howitt William	B3942	{5005146, 4417221}		{'uc2.ark+=13960=t7tm73t7d'}	{'Natural history', 'Outdoor books', 'Country life'}	The yearbook of the country or The field the forest and the fireside
Hyatt Stanley Portal	B3943	{3193878}		{'uc2.ark+=13960=t7wm1925d'}		The way of the Cardines
Harker L Allen Lizzie Allen Mrs	B3944	{3212056}		{'uc2.ark+=13960=t82j6b90k'}		Jan and her job
Hough Emerson	B3945	{8915381, 3171615}		{'uc2.ark+=13960=t84j0bj7f'}		Hearts Desire
Harte Bret	B3946	{8956131, 3174751}		{'uc1.b4445878', 'uc2.ark+=13960=t88g8gp1k'}	{'American fiction'}	Mr Jack Hamlins mediation
Hyatt Stanley Portal	B3947	{9066603, 2447823}		{'uc2.ark+=13960=t8cf9p28b'}		The law of the bolo
Hope Anthony	B3948	{8949712, 3204345}		{'uc2.ark+=13960=t8df6sp4w'}		A young mans year
Howitt Mary Botham	B3949	{6108927}		{'uc2.ark+=13960=t8gf0nw0b'}		Tales in prose
Beresford J D John Davys	B395	{6865426}		{'mdp.39015031332862'}	{'Utopias'}	Goslings
Holland Clive	B3950	{8820096, 9025545}		{'uc2.ark+=13960=t8mc9154c'}	{'Japan'}	A Japanese romance
Hawthorne Nathaniel	B3951	{3198550}		{'uc2.ark+=13960=t8pc2vn4j'}	{'Mythology, Classical', 'Juvenile literature'}	Tanglewood tales
Hodgetts E A Brayley Edward Arthur Brayley	B3952	{8839615}		{'uc2.ark+=13960=t8pc32z0h'}		A Russian wild flower
Hood Thomas	B3953	{8682120, 8366210}		{'uc2.ark+=13960=t8rb75418'}		The comic annual for 1846
Huntington Faye	B3954	{8754161}		{'uc2.ark+=13960=t8sb3zp5p'}		Transformed
Hough Emerson	B3955	{3183386, 6784571, 6814468}		{'uc2.ark+=13960=t8tb0zk8z'}	{'Law, John', '1671-1729'}	The Mississippi bubble
Hope Anthony	B3956	{8846762}		{'uc2.ark+=13960=t8v980p58'}		The heart of Princess Osra
Hay J Macdougall	B3957	{3187126}		{'uc2.ark+=13960=t8v982h7t'}		Barnacles
